"Date","hour","Weekday","Peakhour","TemperatureF","Humidity","predicted.kwh"
"10/08/2016","15",0,1,64.9,87,216.384240324221
"10/08/2016","16",0,1,66.9,87,219.449306465896
"10/08/2016","17",0,1,66.9,84,220.84005641248
"10/08/2016","18",0,1,66.9,84,220.84005641248
"10/08/2016","19",0,1,66,87,218.075778307287
"10/08/2016","20",0,0,66,87,92.9814779488452
"10/08/2016","21",0,0,64.9,90,89.922968780386
"10/08/2016","22",0,0,64.9,90,89.922968780386
"10/08/2016","23",0,0,64,96,85.8610616213472
"10/09/2016","0",0,0,63,100,82.5678056281266
"10/09/2016","1",0,0,64.9,97,86.8193920474664
"10/09/2016","2",0,0,64,100,84.128998515697
"10/09/2016","3",0,0,64,93,87.1839194546318
"10/09/2016","4",0,0,63,97,83.8635217838178
"10/09/2016","5",0,0,63,97,83.8635217838178
"10/09/2016","6",0,0,61,97,80.7035126667502
"10/09/2016","7",0,0,57.9,100,74.4055771022466
"10/09/2016","8",0,1,57,100,198.022672067445
"10/09/2016","9",0,1,57,100,198.022672067445
"10/09/2016","10",0,1,55,96,196.429722109583
"10/09/2016","11",0,1,55,96,196.429722109583
"10/09/2016","12",0,1,54,100,193.012478682409
"10/09/2016","13",0,1,54,97,194.3081948381
"10/09/2016","14",0,1,53.1,96,193.214488113024
"10/09/2016","15",0,1,52,97,190.890357024585
"10/09/2016","16",0,1,52,97,190.890357024585
"10/09/2016","17",0,1,51.1,96,189.767250679437
"10/09/2016","18",0,1,51.1,92,191.535790276014
"10/09/2016","19",0,1,50,100,186.110418673543
"10/09/2016","20",0,0,50,93,64.0710392540369
"10/09/2016","21",0,0,50,93,64.0710392540369
"10/09/2016","22",0,0,50,89,65.8685010403483
"10/09/2016","23",0,0,50,89,65.8685010403483
"10/10/2016","0",1,0,48.9,83,138.668748833981
"10/10/2016","1",1,0,46.9,80,136.49800025729
"10/10/2016","2",1,0,46,76,136.796684980919
"10/10/2016","3",1,0,45,76,134.952345265121
"10/10/2016","4",1,0,45,74,135.942272241851
"10/10/2016","5",1,0,45,74,135.942272241851
"10/10/2016","6",1,0,45,71,137.452594549929
"10/10/2016","7",1,0,46,68,140.839516368415
"10/10/2016","8",1,1,48,61,273.300731436973
"10/10/2016","9",1,1,50,57,279.087858521378
"10/10/2016","10",1,1,52,53,284.884383012044
"10/10/2016","11",1,1,54,49,290.703554888599
"10/10/2016","12",1,1,55.9,45,296.39386344724
"10/10/2016","13",1,1,57,42,300.165269252298
"10/10/2016","14",1,1,57.9,41,302.307867260099
"10/10/2016","15",1,1,57.9,41,302.307867260099
"10/10/2016","16",1,1,57.9,39,303.663456400593
"10/10/2016","17",1,1,55,43,296.1827388753
"10/10/2016","18",1,1,53.1,48,289.78900261267
"10/10/2016","19",1,1,52,50,286.676464906742
"10/10/2016","20",1,0,50,52,156.897448540385
"10/10/2016","21",1,0,48.9,56,152.617759425955
"10/10/2016","22",1,0,48,56,151.009187951725
"10/10/2016","23",1,0,46.9,59,147.326564314171
"10/11/2016","0",1,0,46,61,144.576940219112
"10/11/2016","1",1,0,45,63,141.643814777262
"10/11/2016","2",1,0,45,63,141.643814777262
"10/11/2016","3",1,0,44.1,65,138.894671830818
"10/11/2016","4",1,0,44.1,65,138.894671830818
"10/11/2016","5",1,0,44.1,65,138.894671830818
"10/11/2016","6",1,0,44.1,65,138.894671830818
"10/11/2016","7",1,0,45,65,140.572178499114
"10/11/2016","8",1,1,48.9,56,277.712059784396
"10/11/2016","9",1,1,54,47,291.94100325499
"10/11/2016","10",1,1,55.9,40,299.68281723245
"10/11/2016","11",1,1,59,35,308.273183991741
"10/11/2016","12",1,1,57.9,46,299.057001407521
"10/11/2016","13",1,1,57.9,36,305.763782242147
"10/11/2016","14",1,1,57.9,39,303.663456400593
"10/11/2016","15",1,1,57.9,41,302.307867260099
"10/11/2016","16",1,1,57.9,42,301.642474645541
"10/11/2016","17",1,1,55.9,60,287.497301204687
"10/11/2016","18",1,1,55,59,286.549389478873
"10/11/2016","19",1,1,54,66,281.067366333637
"10/11/2016","20",1,0,52,69,150.989954327491
"10/11/2016","21",1,0,52,66,152.55522816168
"10/11/2016","22",1,0,51.1,63,152.597046120769
"10/11/2016","23",1,0,52,59,156.352070985392
"10/12/2016","0",1,0,48.9,69,145.559671738324
"10/12/2016","1",1,0,48.9,77,141.544668707156
"10/12/2016","2",1,0,48.9,77,141.544668707156
"10/12/2016","3",1,0,48.9,83,138.668748833981
"10/12/2016","4",1,0,48.9,86,137.269792520031
"10/12/2016","5",1,0,48.9,83,138.668748833981
"10/12/2016","6",1,0,48.9,86,137.269792520031
"10/12/2016","7",1,0,51.1,83,142.539578128041
"10/12/2016","8",1,1,54,75,276.470481630762
"10/12/2016","9",1,1,55.9,72,281.159283174233
"10/12/2016","10",1,1,59,67,288.819095668505
"10/12/2016","11",1,1,60.1,64,292.181451516315
"10/12/2016","12",1,1,61,67,292.031346961209
